No,Pertanyaan,Jawaban
1,Apa fasilitas yang tersedia di Hotel A?,"Fasilitas yang tersedia di Hotel A termasuk kolam renang, restoran, dan wifi gratis."
2,Apa saja jenis kamar yang tersedia di Hotel B?,Hotel B memiliki kamar Suite dan VIP.
3,Apakah ada restoran di Hotel C?,"Ya, Hotel C memiliki restoran."
4,Apakah ada fasilitas spa di Hotel A?,"Tidak, Hotel A tidak memiliki fasilitas spa."
5,Berapa harga kamar single di Hotel B?,"Harga kamar single di Hotel B adalah 500,000 per malam."
6,Apakah kamar di Hotel C dilengkapi dengan AC?,"Ya, kamar di Hotel C dilengkapi dengan AC."
7,Apakah tersedia layanan kamar 24 jam di Hotel B?,"Ya, Hotel B menyediakan layanan kamar 24 jam."
8,Apakah Hotel A menyediakan sarapan?,"Ya, Hotel A menyediakan sarapan gratis untuk tamu."
9,Apakah ada area parkir di Hotel C?,"Ya, Hotel C memiliki area parkir yang luas."
10,Apakah terdapat pusat kebugaran di Hotel A?,"Tidak, Hotel A tidak memiliki pusat kebugaran."
11,Apakah kamar suite di Hotel B memiliki jacuzzi?,"Ya, kamar suite di Hotel B dilengkapi dengan jacuzzi."
12,Apakah Hotel C memiliki layanan antar-jemput?,"Ya, Hotel C menyediakan layanan antar-jemput dari dan ke bandara dengan biaya tambahan."
13,Apakah tersedia koneksi internet di Hotel B?,"Ya, Hotel B menyediakan koneksi internet wi-fi gratis untuk semua tamu."
14,Berapa jumlah tamu maksimum yang dapat menginap di kamar suite Hotel A?,Kamar suite di Hotel A dapat mengakomodasi hingga 3 tamu.
15,Apakah tersedia layanan binatu di Hotel C?,"Ya, Hotel C menyediakan layanan binatu dengan biaya tambahan."
16,Berapa jarak dari Hotel A ke bandara terdekat?,Hotel A terletak sekitar 10 km dari bandara terdekat.
17,Apakah Hotel B menyediakan layanan antar-jemput?,"Ya, Hotel B menyediakan layanan antar-jemput gratis dari dan ke stasiun kereta api terdekat."
18,Apakah Hotel C ramah hewan peliharaan?,"Ya, Hotel C adalah hotel yang ramah hewan peliharaan."
19,Apakah tersedia sarapan pagi di Hotel B?,"Ya, Hotel B menyediakan sarapan pagi untuk semua tamu dengan berbagai pilihan menu."
20,Apakah Hotel A menyediakan layanan kamar mandi dalam?,"Ya, Hotel A menyediakan layanan kamar mandi dalam dengan shower dan bathtub."
